topic,concept,question,correct_answer,bloom_level,explanation,option_A,option_B,option_C,option_D
Object-Oriented Programming,Classes and objects,Which of the following best describes the relationship between classes and objects in object-oriented programming?,D,Understand,"In object-oriented programming, a class serves as a blueprint or template for creating objects. It defines the properties and behaviors that the objects created from the class will have. An object is an instance of a class, meaning it is created based on the structure and behavior defined by the class.",An object is a blueprint for creating classes.,A class is a collection of objects with similar properties.,A class is an object that contains other objects.,A class is a blueprint for creating objects.
Object-Oriented Programming,Inheritance,"In object-oriented programming, what is the main purpose of inheritance?",D,Understand,"Inheritance is a fundamental concept in object-oriented programming that enables a new class, known as a subclass, to inherit attributes and behaviors (methods) from an existing class, referred to as a superclass. This promotes code reusability and establishes a hierarchical relationship between classes.",To ensure that all classes in a program have the same properties and methods.,To allow a new class to completely replace an existing class in a program.,To enable a class to override all methods of another class without using the same method names.,To allow a new class to inherit properties and methods from an existing class.
Object-Oriented Programming,Polymorphism,Which of the following best describes polymorphism in object-oriented programming?,D,Understand,"Polymorphism allows objects of different classes to be treated as objects of a common superclass. It enables a single method to be used on different types of objects, where each object can respond in a way specific to its class.",The capability of an object to change its class type at runtime to match another object.,The process of defining multiple methods with the same name but different parameters within the same class.,The ability of a single object to take on multiple forms within a program.,The ability of different objects to respond to the same method call in different ways.
Object-Oriented Programming,Encapsulation,Which of the following best describes encapsulation in object-oriented programming?,B,Understand,"Encapsulation is a fundamental concept in object-oriented programming that involves bundling the data (attributes) and the methods (functions) that operate on the data into a single unit known as a class. It also involves restricting direct access to some of the object's components, which can help in protecting the integrity of the data and hiding the internal implementation details from the outside world. This is achieved using access modifiers like private, protected, and public.",Encapsulation is the technique of defining multiple methods with the same name but different parameters to achieve method overloading within a class.,"Encapsulation is the practice of bundling data and methods that operate on that data within a single unit or class, while restricting access to some of the object's components.",Encapsulation is the practice of using inheritance to extend the functionality of existing classes while maintaining a hierarchical class structure.,"Encapsulation is the process of converting an object into a format that can be easily stored or transmitted, such as converting it into a JSON or XML format."
Object-Oriented Programming,Interfaces and abstract classes,Which of the following statements is true regarding interfaces and abstract classes in object-oriented programming?,D,Understand,"In object-oriented programming, interfaces are used to define a contract that implementing classes must follow, meaning they can only declare methods without providing implementations. Abstract classes, on the other hand, can provide both method declarations and implementations, allowing for shared code among subclasses.","Interfaces can provide method implementations, while abstract classes can only declare methods.","Abstract classes can implement multiple interfaces, while interfaces can extend multiple abstract classes.","Interfaces can have constructors, while abstract classes cannot have constructors.","Interfaces can only declare methods, while abstract classes can provide method implementations."
Exception Handling,Try-catch blocks,What is the primary purpose of a try-catch block in programming?,D,Understand,"A try-catch block is used to handle exceptions that may occur during the execution of a program. The 'try' block contains code that might throw an exception, while the 'catch' block contains code to handle the exception, allowing the program to continue running or to terminate gracefully.",All exceptions must be explicitly handled in every program,"Once a program compiles successfully, it will always execute correctly, not realizing that runtime errors can still occur",Students may incorrectly believe that arrays in Java automatically handle out-of-range access without needing explicit error handling,To handle exceptions and prevent program crashes.
Exception Handling,Throwing exceptions,What is the primary purpose of throwing an exception in a program?,A,Understand,"Throwing an exception is a mechanism used in programming to indicate that an error or unexpected situation has occurred. It allows the program to handle the error gracefully, either by catching the exception and taking corrective actions or by terminating the program if the error is critical.",To signal the occurrence of an error or unexpected event during execution.,"All exceptions in Java are related to division by zero, not realizing the variety of exceptions that can occur","Once a program compiles successfully, it will always execute correctly, not realizing that runtime errors can still occur",All exceptions are bad and indicate a problem with the program
Exception Handling,Creating custom exceptions,Which of the following is the correct way to create a custom exception in Python?,B,Apply,"To create a custom exception in Python, you define a new class that inherits from the built-in Exception class. This allows you to raise and handle exceptions specific to your application's needs.","Exceptions must always be handled immediately, rather than allowing the program to terminate",class MyCustomException(Exception): pass,All exceptions are bad and indicate a problem with the program,All exceptions must be explicitly handled in every program
Input/Output,Reading from and writing to files,Which of the following Python functions is used to write data to a file?,B,Remember,"The write() function in Python is used to write data to a file. It is part of the file object's methods, which allow you to manipulate files by writing data to them. This question tests the basic recall of the function name associated with writing to files.",print(),write(),output(),save()
Input/Output,Console input and output,Which of the following commands in Python is used to display output on the console?,D,Remember,The 'print()' function in Python is used to output data to the standard console. It is one of the fundamental functions for displaying information to the user.,echo(),display(),output(),print()
JavaFX,JavaFX basics,Which of the following is the main entry point for a JavaFX application?,C,Remember,"In JavaFX, the Application class serves as the main entry point for launching a JavaFX application. Developers must extend this class and override the start method to set up the primary stage and scene.",Scene class,FXApp class,Application class,Stage class
JavaFX,JavaFX event handling,Which of the following is the correct way to handle an event in JavaFX?,B,Understand,"In JavaFX, event handling is typically done by implementing the EventHandler interface and overriding its handle method. This allows you to define what should happen when a specific event occurs, such as a button click.",Create a new EventListener object and pass it to the setOnAction method.,Implement an EventHandler interface and override the handle method.,Extend the Event class and override the processEvent method.,Use a static method in the EventHandler class to manage the event.
JavaFX,JavaFX UI components,Which of the following is a UI component in JavaFX used for displaying text?,D,Remember,"In JavaFX, a Label is a UI component that is used to display a short text or an image. It is a basic component that does not allow user input, unlike TextField or TextArea.",TextArea,Button,TextField,Label
Concurrency,Threads and Runnable interface,Which of the following statements is true about the Runnable interface in Java?,A,Understand,"In Java, the Runnable interface is used to define a task that can be executed by a thread. Any class that implements the Runnable interface must provide an implementation for the run() method, which contains the code that will be executed when the thread is run.",A class implementing Runnable must define the run() method.,Implementing Runnable is the same as extending the Thread class.,A class implementing Runnable can have multiple run() methods with different parameters.,The run() method in a Runnable interface is automatically executed by the JVM.
Concurrency,Synchronization,"Which of the following mechanisms is primarily used to ensure that multiple threads do not access a shared resource simultaneously, potentially causing data inconsistency?",B,Understand,"A mutex, or mutual exclusion object, is a synchronization primitive used to prevent multiple threads from accessing a shared resource at the same time. By locking the resource, a mutex ensures that only one thread can access the resource, thereby preventing data races and ensuring consistency.",Garbage collection,Mutex,Polymorphism,Inheritance
Concurrency,Concurrent collections,Which of the following is a characteristic of a concurrent collection in programming?,D,Understand,"Concurrent collections are designed to handle operations from multiple threads without introducing errors or inconsistencies. They provide thread-safe operations to ensure data integrity and avoid race conditions, making them suitable for concurrent programming environments.",Concurrent collections improve performance by locking the entire collection during updates.,Concurrent collections guarantee that operations like add or remove will always complete in constant time.,"Concurrent collections automatically synchronize all method calls, eliminating the need for explicit synchronization.",It allows multiple threads to safely access and modify the collection simultaneously.
Collections,"List, Set, and Map interfaces",Which of the following interfaces in Java allows storage of key-value pairs where each key is unique?,A,Understand,"In Java, the Map interface is used to store key-value pairs, where each key is unique. Unlike the List interface, which allows duplicate elements and maintains order, and the Set interface, which also ensures uniqueness but does not store key-value pairs, the Map interface is specifically designed for mapping keys to values.",Map,Set,List,Collection
Collections,Iterators,Which of the following best describes an iterator in the context of collections?,C,Understand,"An iterator is a design pattern that provides a way to access the elements of a collection sequentially without exposing the underlying representation. It allows you to traverse through the collection, typically using methods like 'next()' to get the next element and 'hasNext()' to check if there are more elements.",An object that permanently removes elements from a collection as it traverses through them.,An object that automatically sorts the elements of a collection in ascending order.,"An object that enables traversing through a collection, one element at a time.",An object that allows multiple threads to modify a collection simultaneously without synchronization.
Collections,Generic collections,Which of the following is a benefit of using generic collections in programming?,C,Understand,"Generic collections allow developers to specify the data type of elements that a collection can hold, reducing runtime errors and improving code reliability by catching type mismatches at compile time.",They automatically sort the elements in the collection in ascending order.,They allow collections to store any type of object without explicit casting.,They provide type safety by ensuring that only a specified data type can be stored in the collection.,They improve performance by reducing the memory usage of the collection.
Lambda Expressions,Syntax and usage,Which of the following is the correct syntax for a lambda expression in Python that adds two numbers?,C,Remember,"In Python, a lambda expression is defined using the 'lambda' keyword, followed by a list of parameters, a colon, and an expression. The expression is evaluated and returned when the lambda function is called.","lambda x, y => x + y","lambda (x, y) -> x + y","lambda x, y: x + y","lambda x, y: return x + y"
Lambda Expressions,Functional interfaces,Which of the following statements is true about lambda expressions in Java?,A,Understand,"In Java, a lambda expression can be used to provide an implementation for a functional interface. A functional interface is an interface that has exactly one abstract method. Lambda expressions help in reducing boilerplate code and make the code more readable and concise.",Lambda expressions can be used to implement functional interfaces.,Lambda expressions are a type of anonymous class that can implement multiple interfaces.,Lambda expressions in Java can be used to define methods within a class.,Lambda expressions can only be used with interfaces that have more than one abstract method.
Streams,Stream API,Which of the following operations is NOT a terminal operation in the Java Stream API?,A,Understand,"In the Java Stream API, terminal operations are those that produce a result or a side-effect, such as collect, forEach, or reduce. The map operation is an intermediate operation, used to transform each element of the stream, and does not produce a result until a terminal operation is invoked.",map,reduce,collect,forEach
Streams,"Filter, map, and reduce operations",Which of the following operations would you use in a stream to transform each element of a list of integers by multiplying them by 2?,D,Understand,"The 'map' operation is used to apply a function to each element of a stream, transforming the elements. In this case, multiplying each integer by 2 is a transformation, so 'map' is the appropriate operation.",reduce,collect,filter,map
Control Flow,while vs do-while loop,Which of the following statements is true about the difference between a while loop and a do-while loop?,B,Understand,"In a while loop, the condition is checked before the loop body executes, meaning the loop body may not execute at all if the condition is false initially. In contrast, a do-while loop checks the condition after executing the loop body, ensuring that the body executes at least once regardless of the condition.",Misconception: Students may believe that interfaces can have implemented methods without using default or static modifiers,"A do-while loop guarantees that the loop body will execute at least once, whereas a while loop does not.",Misconception: An object is only eligible for garbage collection if all references are explicitly set to null,Inheritance alone is enough to handle all specific behaviors of different animal types without needing to override methods
Object-Oriented Programming,Classes and Objects,Which of the following best describes the relationship between a class and an object in object-oriented programming?,A,Understand,"In object-oriented programming, a class serves as a blueprint or template that defines the properties and behaviors (methods) that the objects created from the class will have. An object is an instance of a class, meaning it is created based on the structure and behavior defined by the class.",A class is a blueprint for creating objects.,A class is a template that holds data for objects.,A class is a collection of objects grouped together.,A class is an instance of an object.
Exception Handling,try-catch blocks,What is the primary purpose of using a try-catch block in programming?,A,Understand,"A try-catch block is used to catch exceptions that occur in a program, allowing the programmer to handle errors gracefully and maintain program flow without crashing.",To handle exceptions and prevent program crashes.,Students may incorrectly believe that arrays in Java automatically handle out-of-range access without needing explicit error handling,"All errors are detected at compile time, not understanding that some errors, like division by zero, occur at runtime","Once a program compiles successfully, it will always execute correctly, not realizing that runtime errors can still occur"
Exception Handling,throw and throws keywords,"In Java, which of the following statements is true regarding the 'throw' and 'throws' keywords?",A,Understand,"The 'throw' keyword is used within a method to throw an exception explicitly, while 'throws' is used in the method signature to indicate that a method might throw one or more exceptions, which must be handled by the calling method.","'throw' is used to explicitly throw an exception, while 'throws' is used in a method signature to declare that a method can throw exceptions.","Exceptions must always be handled immediately, rather than allowing the program to terminate","All errors are detected at compile time, not understanding that some errors, like division by zero, occur at runtime",All exceptions must be explicitly handled in every program
Data Structures,Arrays,Which of the following best describes an array in programming?,B,Understand,"An array is a data structure used to store multiple values in a single variable, where each element can be accessed by its index. Understanding this concept helps in recognizing how arrays function as a basic building block in programming.","A collection of elements, each identified by a unique value.","A collection of elements, each identified by an index or key.",A data structure where elements are stored in a hierarchical order.,A dynamic list of elements that can grow or shrink in size automatically.
Data Structures,ArrayLists,Which of the following operations is most efficient for an ArrayList in Java?,B,Understand,"ArrayLists in Java provide constant time complexity, O(1), for accessing elements by index because they are backed by arrays. This makes accessing an element by index very efficient compared to operations like adding or removing elements, which may require shifting elements and can have a time complexity of O(n).",Sorting the ArrayList,Accessing an element by index,Inserting an element at the beginning,Removing an element from the middle
Data Structures,LinkedLists,Which of the following operations is most efficient for a singly linked list compared to an array?,A,Understand,"In a singly linked list, inserting an element at the beginning can be done in constant time O(1) by adjusting the head pointer. In contrast, inserting at the beginning of an array requires shifting all existing elements, resulting in O(n) time complexity.",Inserting an element at the beginning,Deleting an element from the end,Accessing an element by index,Inserting an element at a specific index
Concurrency,Threads,Which of the following best describes a thread in the context of concurrency?,A,Understand,"In concurrency, a thread is the smallest sequence of programmed instructions that can be managed independently by a scheduler. It is a component of a process, allowing multiple threads to exist within the same process, sharing resources but executing independently. This understanding helps in grasping how concurrent execution is achieved in computing.",A thread is a lightweight unit of a process that can be scheduled to run independently.,A thread is a heavyweight process that requires its own memory space.,A thread is a method that executes automatically when the program starts.,A thread is a data structure used to store multiple values of the same type.
Functional Programming,Lambda expressions,Which of the following is a correct example of a lambda expression in Python?,C,Understand,"A lambda expression in Python is an anonymous function defined with the 'lambda' keyword. It can take any number of arguments, but has only one expression. The expression is evaluated and returned. In the example 'lambda x: x * 2', 'x' is the argument and 'x * 2' is the expression that gets evaluated and returned.",lambda x: return x * 2,lambda(x) { x * 2 },lambda x: x * 2,lambda x => x * 2
Functional Programming,Streams API,"In Java's Streams API, which method is used to transform each element of a stream?",C,Remember,"The map() method in the Streams API is used to apply a given function to each element of the stream, transforming them into a new stream of results. This is a fundamental operation in functional programming for processing collections of data.",collect(),reduce(),map(),filter()
Input/Output,File I/O,Which of the following is the correct method to open a file for reading in Python?,D,Remember,"In Python, the open() function is used to open a file. The first argument is the filename, and the second argument is the mode. To open a file for reading, the mode 'r' is used.","open('filename.txt', 'read')","open('filename.txt', 'r+')","open('filename.txt', 'w')","open('filename.txt', 'r')"
Input/Output,Console I/O,Which of the following functions is used to read input from the console in Python?,C,Remember,"The input() function in Python is used to take input from the user via the console. It reads a line from input, converts it into a string, and returns it.",scan(),getInput(),input(),readline()
Java Syntax,Variable declaration and initialization,Which of the following is the correct way to declare and initialize an integer variable in Java?,B,Understand,"In Java, a variable is declared by specifying the data type followed by the variable name. To initialize the variable, you use the assignment operator '=' followed by the value. Therefore, 'int number = 10;' correctly declares an integer variable 'number' and initializes it with the value 10.",int number := 10;,int number = 10;,integer number = 10;,int number == 10;
Java Syntax,Method declaration and invocation,Which of the following is the correct way to declare and invoke a method named 'calculateSum' that takes two integer parameters and returns an integer in Java?,C,Apply,"The method 'calculateSum' is declared with a return type of 'int' and two integer parameters 'a' and 'b'. It returns the sum of these parameters. The invocation 'calculateSum(5, 10)' correctly calls the method with two integer arguments, storing the result in an integer variable 'result'.","void calculateSum(int a, int b) { return a + b; } int result = calculateSum(5, 10);","int calculateSum(int a, int b) { return a + b; } calculateSum result = (5, 10);","int calculateSum(int a, int b) { return a + b; } int result = calculateSum(5, 10);","int calculateSum(int a, int b) { return a + b; } int result = calculateSum(int 5, int 10);"
Introduction to Java,JShell - Java's REPL (read-eval-print-loop),What is the primary purpose of JShell in Java?,C,Understand,"JShell is a tool introduced in Java 9 that provides a REPL (read-eval-print-loop) environment. It allows developers to interactively execute Java code snippets, which helps in testing and experimenting with code quickly without the need to write a complete program.",To manage and organize Java project dependencies,To compile Java programs into executable files,To provide an interactive environment for executing Java code snippets.,To provide a graphical user interface for Java development
Java Versions,Key new features of Java 9,Which of the following is a key new feature introduced in Java 9?,B,Remember,"Java 9 introduced several new features, among which the Java Platform Module System, also known as Project Jigsaw, is a significant enhancement. It allows developers to create modular applications, improving the scalability and maintainability of large software systems.","Once the PATH is set, it never needs to be updated, not understanding that it must be changed when updating to a newer JDK version",Java Platform Module System (Project Jigsaw),"The splash screen will always display in the center of the screen, not realizing that this behavior could depend on the system or Java version",The conversion factor is a fixed part of the Java language rather than a constant defined in the program
Interactive Programming,JShell for experimentation and discovery,Which of the following best describes the primary use of JShell in Java programming?,B,Understand,"JShell is a tool introduced in Java 9 that allows developers to execute Java code snippets interactively. It is primarily used for learning, experimenting with code, and quickly testing new ideas without the need to set up an entire Java project. This helps in understanding Java concepts more effectively and discovering how different pieces of code behave.",JShell is a tool for converting Java code into other programming languages.,JShell is used for interactive experimentation and discovery of Java code.,JShell is primarily used for debugging Java code in a production environment.,JShell is used for compiling and running complete Java applications.
Software Engineering,Java 9 module system,Which of the following is a key feature introduced in Java 9 that helps in encapsulating packages and managing dependencies?,A,Remember,Java 9 introduced the module system as a major feature to improve the encapsulation of packages and manage dependencies more effectively. This system allows developers to define modules that specify which packages they export and which other modules they require.,Module system,Package system,Dependency manager,Class encapsulation
Recursion,Generating fractal computer graphics,Which of the following best describes how recursion is used to generate fractal computer graphics?,A,Understand,"In fractal computer graphics, recursion is used to generate complex patterns by repeatedly applying a function to its own output. This process creates self-similar patterns at different scales, which is a key characteristic of fractals.",Recursion repeatedly applies a function to its own output to create self-similar patterns.,"Recursion applies a function once to generate a single pattern, which is then copied to form a fractal.",Recursion breaks down a complex pattern into simpler parts without repeating any function calls.,Recursion uses a loop to iterate over a set of predefined patterns to create complex graphics.
Recursion,Fibonacci series,Which of the following best describes the role of recursion in generating the Fibonacci series?,A,Understand,"Recursion is a technique where a function calls itself to solve a smaller instance of the same problem. In the context of the Fibonacci series, a recursive function typically calls itself with the two preceding numbers to compute the next number in the sequence.",Recursion involves a function calling itself with smaller inputs to calculate Fibonacci numbers.,Recursion generates Fibonacci numbers by directly computing each number without any function calls.,Recursion uses a loop to iterate through numbers and store Fibonacci values in an array.,Recursion involves a function calling itself with larger inputs to calculate Fibonacci numbers.
Streams,Treating sequences as streams,Which of the following best describes how sequences can be treated as streams in programming?,A,Understand,"Treating sequences as streams allows for processing data one element at a time, which is useful for handling large datasets or infinite sequences. This approach avoids loading the entire sequence into memory, enabling efficient computation and reduced memory usage.",Sequences can be processed element-by-element without loading the entire sequence into memory.,Sequences can be processed in parallel without any concern for the order of elements.,Sequences can be treated as streams only if they are converted into arrays first.,Sequences can be processed only after the entire sequence is loaded into memory.
Graphics,JavaFX lighting effects on 3D objects,Which JavaFX class is used to apply lighting effects to 3D objects?,D,Remember,"In JavaFX, the 'Lighting' class is used to apply lighting effects to 3D objects. This class allows developers to simulate different types of light sources, such as point lights or distant lights, to enhance the visual appearance of 3D objects.",LightSource,Shading,Illumination,Lighting
Development Environment,Java SE Development Kit (JDK),Which of the following components is included in the Java SE Development Kit (JDK)?,A,Remember,"The Java SE Development Kit (JDK) includes tools necessary for developing Java applications, such as the Java Compiler (javac), which translates Java source code into bytecode that can be executed by the Java Virtual Machine (JVM).",Java Compiler (javac),Java Virtual Machine (JVM),Java Runtime Environment (JRE),Java Application Server
Version Management,Managing multiple JDK versions,Which tool is commonly used to manage multiple JDK versions on a single machine?,D,Remember,"SDKMAN! is a tool that helps developers manage multiple versions of software development kits, including different JDK versions, on a single machine. It allows for easy installation, switching, and removal of JDKs, making it a popular choice among developers.",JDKSWAP,JDKMANAGER,JVMTOOL,SDKMAN!
Environment Setup,Setting the PATH environment variable,Which command is used to permanently add a directory to the PATH environment variable in a Unix-based system?,B,Understand,"To permanently modify the PATH environment variable, you need to add the export command to your shell's profile file. This ensures that every time a new shell session starts, the specified directory is included in the PATH, allowing the system to locate executables in that directory.",Add the export command to a temporary session file like .bash_profile or .zsh_profile.,"Add the export command to your shell's profile file, such as .bashrc or .zshrc.",Edit the PATH variable directly in the /etc/environment file for permanent changes.,Use the set command in the terminal to update the PATH variable permanently.
Environment Setup,JDK installation directory,Where is the JDK typically installed on a Windows operating system?,C,Remember,The JDK is commonly installed in the 'C:\Program Files\Java\jdk<version>' directory on Windows systems. This is a standard location that helps users and applications easily locate the Java Development Kit.,C:\Program Files (x86)\Java\jdk<version>,C:\Users\<username>\AppData\Local\Java\jdk<version>,C:\Program Files\Java\jdk<version>,C:\Windows\System32\Java\jdk<version>
Environment Setup,CLASSPATH environment variable,What is the purpose of the CLASSPATH environment variable in a Java development environment?,A,Understand,"The CLASSPATH environment variable is used by the Java Virtual Machine (JVM) to locate user-defined classes and packages needed for Java applications. By setting the CLASSPATH, developers can ensure that the JVM can find and load the necessary classes during runtime.",It specifies the location of user-defined classes and packages.,It determines the maximum memory allocation for the Java Virtual Machine.,It sets the default directory for Java source files and projects.,It specifies the location of Java Development Kit (JDK) installation files.
Environment Setup,Setting the JAVA_HOME environment variable,Which of the following commands is used to set the JAVA_HOME environment variable on a Unix-based system?,A,Remember,"The 'export' command is used in Unix-based systems to set environment variables. JAVA_HOME is a common environment variable that points to the directory where Java is installed. By using 'export JAVA_HOME=/path/to/java', you are specifying the path to the Java installation directory.",export JAVA_HOME=/path/to/java,setenv JAVA_HOME /path/to/java,set JAVA_HOME=/path/to/java,export PATH=$JAVA_HOME/bin
Software Installation,Installing JDK on Windows and macOS,Which of the following steps is necessary to install the JDK on both Windows and macOS?,D,Remember,"To install the JDK on both Windows and macOS, the first step is to download the appropriate installer from the official Oracle website. This step is common to both operating systems, ensuring that users have the correct version of the JDK for their platform.",Install an IDE like Eclipse or IntelliJ before downloading the JDK.,Download the JDK source code and compile it manually on your system.,Use the system's package manager to automatically install the JDK.,Download the JDK installer from the official Oracle website.
Software Installation,Installing JDK on Linux using tar.gz archive,Which of the following commands is used to extract a JDK tar.gz archive on a Linux system?,B,Understand,"The 'tar -xzf' command is used to extract files from a tar.gz archive in Linux. '-x' stands for extract, '-z' for decompressing a gzip file, and '-f' specifies the file to be extracted. This command is essential for installing the JDK from a tar.gz archive.",tar -xvf jdk-<version>.tar.gz,tar -xzf jdk-<version>.tar.gz,unzip jdk-<version>.tar.gz,tar -czf jdk-<version>.tar.gz
Version Control,Understanding JDK version numbering prior to Java 9,Which of the following correctly describes the version numbering scheme used for the JDK prior to Java 9?,A,Understand,"Before Java 9, the JDK version numbering followed a 'Major.Minor.Security' format. This scheme included a major version number, a minor version number, and an optional security update number. This system was changed in Java 9 to a more detailed version string format.",Major.Minor.Security,Major.Minor.Revision,Major.Minor.Patch,Major.Security.Build
Version Control,Understanding new JDK version numbering from Java 9 onwards,What is the correct format for the new JDK version numbering introduced in Java 9?,C,Understand,"Starting with Java 9, the version numbering scheme was changed to a new format: Feature.Interim.Update.Patch. This format allows for a more straightforward and predictable versioning system, where 'Feature' indicates the major version, 'Interim' is for minor updates, 'Update' is for security and bug fixes, and 'Patch' is for emergency patches.",Version.Release.Update.Fix,Major.Minor.Patch.Build,Feature.Interim.Update.Patch,Edition.Revision.Maintenance.Patch
Environment Configuration,Managing PATH environment variable on Windows for JDK,Which of the following steps correctly describes how to add the JDK's 'bin' directory to the PATH environment variable on a Windows system?,B,Understand,Managing the PATH environment variable involves modifying system settings to include the directory of the JDK's executable files. This allows the system to recognize Java commands globally. The correct approach is to access the Environment Variables through System Properties and edit the PATH variable to include the new directory.,"Open the Command Prompt and type 'set PATH=%PATH%;C:\Program Files\Java\jdk\bin', then press Enter to permanently update the PATH variable.","Navigate to System Properties > Advanced > Environment Variables, then edit the PATH variable under 'System variables' to include the path to the JDK's 'bin' directory.","Go to File Explorer, right-click on 'This PC', select 'Properties', then add the JDK's 'bin' directory to the PATH variable under 'User variables'.","Navigate to Control Panel > Programs > Java, then add the JDK's 'bin' directory to the PATH variable under 'Java Runtime Environment'."
Environment Configuration,Temporary PATH setting for Command Prompt on Windows,Which command temporarily adds a directory to the PATH environment variable in a Windows Command Prompt session?,A,Apply,"The 'set PATH=%PATH%;C:\example\directory' command appends 'C:\example\directory' to the current PATH variable for the duration of the Command Prompt session. This change is temporary and only affects the current session, meaning it will not persist after the Command Prompt is closed.",set PATH=%PATH%;C:\example\directory,add PATH=%PATH%;C:\example\directory,set PATH=C:\example\directory;%PATH%,set TEMP_PATH=%PATH%;C:\example\directory
Environment Configuration,Determining installed JDKs on macOS using Terminal,Which Terminal command can you use to list all installed JDK versions on a macOS system?,B,Remember,"The command '/usr/libexec/java_home -V' is used to display all installed JDK versions on macOS. It lists each version along with its installation path, allowing users to determine which JDKs are available on their system.",/usr/local/bin/java_home -v,/usr/libexec/java_home -V,/usr/bin/java_home -V,/usr/libexec/java -version
